"longitude","latitude","time_stamp"
-122.40943,37.79971,1212648728
-122.41136,37.79724,1212648799
-122.41136,37.79724,1212648820
-122.41136,37.79724,1212648846
-122.41136,37.79724,1212648860
-122.42491,37.7956,1212648876
-122.42491,37.7956,1212648911
-122.42647,37.7954,1212648955
-122.42647,37.79535,1212648970
-122.42647,37.79536,1212649011
-122.42647,37.79536,1212649026
-122.42653,37.79538,1212649041
-122.42655,37.79538,1212649068
-122.43103,37.79772,1212649152
-122.43323,37.79744,1212649174
-122.43522,37.79719,1212649194
-122.43584,37.79888,1212649554
-122.43783,37.80066,1212649555
-122.4411,37.79944,1212649556
-122.43766,37.79959,1212649583
-122.43593,37.79909,1212649618
-122.43577,37.79825,1212649639
-122.43575,37.79805,1212649665
-122.43537,37.7971,1212649681
-122.43387,37.7973,1212649702
-122.4311,37.79765,1212649739
-122.42985,37.79781,1212649764
-122.42662,37.79824,1212649807
-122.42662,37.79824,1212649819
-122.4244,37.79851,1212649825
-122.42233,37.79864,1212649874
-122.42215,37.79747,1212649884
-122.42185,37.79618,1212649912
-122.42187,37.79613,1212649942
-122.42187,37.79612,1212649947
-122.42187,37.79612,1212649961
-122.42154,37.79447,1212649976
-122.4209,37.7915,1212650016
-122.42056,37.78985,1212650049
-122.42043,37.78923,1212650089
-122.41896,37.78891,1212650128
-122.41853,37.78896,1212650158
-122.41685,37.78842,1212650170
-122.41681,37.7883,1212650194
-122.41666,37.7874,1212650222
-122.41628,37.78731,1212650237
-122.41472,37.78746,1212650283
-122.4122,37.78795,1212650308
-122.40743,37.78847,1212650345
-122.40636,37.78587,1212650381
-122.4058,37.78564,1212650406
-122.40524,37.78525,1212650447
-122.4045,37.78462,1212650477
-122.40475,37.78423,1212650488
-122.40735,37.78218,1212650509
-122.40937,37.78045,1212650548
-122.41228,37.77817,1212650553
-122.41463,37.77634,1212650574
-122.41461,37.77632,1212650595
-122.41581,37.77544,1212650633
-122.41829,37.77185,1212650672
-122.41786,37.76856,1212650714
-122.41739,37.76382,1212650759
-122.41738,37.76372,1212650780
-122.41738,37.76372,1212650795
-122.41682,37.75783,1212650818
-122.41657,37.75475,1212650838
-122.41632,37.75252,1212650865
-122.41391,37.75252,1212650905
-122.41184,37.75264,1212650918
-122.41071,37.7527,1212650938
-122.41071,37.75271,1212650962
-122.41133,37.75269,1212651002
-122.41422,37.75251,1212651063
-122.41592,37.75238,1212651086
-122.41755,37.7523,1212651111
-122.41857,37.75376,1212651146
-122.4188,37.75544,1212651192
-122.41885,37.7566,1212651208
-122.41896,37.75795,1212651230
-122.41911,37.75945,1212651252
-122.41933,37.76179,1212651291
-122.41953,37.76326,1212651310
-122.41963,37.76347,1212651331
-122.42125,37.76338,1212651352
-122.42165,37.76338,1212651376
-122.42232,37.76495,1212651437
-122.42417,37.76595,1212651477
-122.42433,37.7677,1212651502
-122.42212,37.7667,1212651551
-122.42197,37.76511,1212651593
-122.42174,37.76268,1212651631
-122.42308,37.76166,1212651651
-122.42575,37.76149,1212651671
-122.42828,37.76133,1212651691
-122.43029,37.7612,1212651711
-122.43224,37.76109,1212651737
-122.43362,37.76101,1212651753
-122.43487,37.76095,1212651795
-122.43508,37.76219,1212651815
-122.43246,37.76465,1212651855
-122.43183,37.7651,1212651876
-122.43102,37.7657,1212651915
-122.43255,37.76485,1212651936
-122.43809,37.76234,1212651975
-122.44036,37.7622,1212651996
-122.44418,37.76197,1212652018
-122.44753,37.76176,1212652058
-122.44982,37.76161,1212652079
-122.45183,37.7615,1212652105
-122.45255,37.76442,1212652143
-122.45261,37.76451,1212652164
-122.4555,37.76419,1212652186
-122.45863,37.76329,1212652206
-122.46153,37.76248,1212652227
-122.46563,37.7622,1212652266
-122.46606,37.7601,1212652292
-122.46653,37.75847,1212652307
-122.46698,37.75776,1212652327
-122.46693,37.75775,1212652371
-122.46702,37.75898,1212652395
-122.46717,37.76084,1212652414
-122.46725,37.76222,1212652437
-122.46725,37.76222,1212652451
-122.46716,37.76403,1212652477
-122.46641,37.76583,1212652516
-122.46473,37.76596,1212652537
-122.46446,37.76597,1212652557
-122.46268,37.76614,1212652583
-122.45784,37.76601,1212652618
-122.45532,37.76607,1212652640
-122.45314,37.76749,1212652680
-122.45345,37.76899,1212652721
-122.45195,37.76935,1212652742
-122.45015,37.76959,1212652762
-122.44859,37.76978,1212652782
-122.44578,37.77012,1212652828
-122.44547,37.771,1212652844
-122.4456,37.77211,1212652887
-122.44419,37.77229,1212652915
-122.44288,37.77246,1212652931
-122.43784,37.7731,1212652970
-122.43751,37.77394,1212653014
-122.43783,37.77505,1212653034
-122.4382,37.77675,1212653055
-122.43833,37.77767,1212653075
-122.43857,37.77877,1212653116
-122.43881,37.78064,1212653136
-122.43923,37.78236,1212653175
-122.43938,37.78307,1212653195
-122.43746,37.78359,1212653235
-122.43451,37.78398,1212653255
-122.43299,37.78418,1212653281
-122.4329,37.78424,1212653311
-122.43296,37.78477,1212653343
-122.43334,37.78672,1212653353
-122.43378,37.7888,1212653379
-122.43413,37.79063,1212653417
-122.43464,37.79316,1212653457
-122.43504,37.79489,1212653480
-122.43576,37.79755,1212653534
-122.43588,37.79877,1212653539
-122.436,37.7997,1212653578
-122.436,37.7997,1212653593
-122.43887,37.79956,1212653618
-122.44096,37.79935,1212653639
-122.43981,37.80036,1212653684
-122.43805,37.80058,1212653704
-122.43799,37.80054,1212653730
-122.43646,37.80077,1212653746
-122.43597,37.80271,1212653785
-122.43257,37.80311,1212653806
-122.42909,37.80361,1212653827
-122.42286,37.80442,1212653866
-122.42194,37.80528,1212653907
-122.42196,37.80529,1212653927
-122.422,37.80543,1212653947
-122.42519,37.80503,1212653994
-122.42474,37.80183,1212654035
-122.4245,37.80051,1212654056
-122.42408,37.79839,1212654096
-122.42333,37.79479,1212654118
-122.4224,37.78986,1212654159
-122.42358,37.78917,1212654197
-122.42474,37.78898,1212654217
-122.42547,37.789,1212654238
-122.42942,37.78846,1212654258
-122.43368,37.78793,1212654280
-122.43738,37.78747,1212654306
-122.44003,37.78711,1212654321
-122.44339,37.78669,1212654352
-122.44748,37.78444,1212654386
-122.44722,37.78267,1212654416
